index,question,answer1,answer2,answer3,answer4,read1,read2,read3,read4
CDI-19,"根据您最近两周的实际感觉,从下面三个答案中选择",我不担心身体会疼痛,我经常担心身体会疼痛,我总是担心身体会疼痛,此处为空,我不担心身体会疼痛,我经常担心身体会疼痛,我总是担心身体会疼痛,此处为空
CDI-20,"根据您最近两周的实际感觉,从下面三个答案中选择",我感到不孤独,我经常感到孤独,我总是感到孤独,此处为空,我感到不孤独,我经常感到孤独,我总是感到孤独,此处为空
CDI-21,"根据您最近两周的实际感觉,从下面三个答案中选择",我总是感到上学没有趣,我偶尔感到上学有趣,我经常感到上学有趣,此处为空,我总是感到上学没有趣,我偶尔感到上学有趣,我经常感到上学有趣,此处为空
CDI-22,"根据您最近两周的实际感觉,从下面三个答案中选择",我有许多朋友,我有一些朋友，但是我希望有更多朋友,我没有任何朋友,此处为空,我有许多朋友,我有一些朋友，但是我希望有更多朋友,我没有任何朋友,此处为空
CDI-23,"根据您最近两周的实际感觉,从下面三个答案中选择",我在学校的学习还不错,我的学习比以前稍差,我以前很好的功课现在很差,此处为空,我在学校的学习还不错,我的学习比以前稍差,我以前很好的功课现在很差,此处为空
CDI-24,"根据您最近两周的实际感觉,从下面三个答案中选择",我永远也不会像其他孩子那样棒,如果我努力，我会像其他孩子一样棒,我像其他孩子一样棒,此处为空,我永远也不会像其他孩子那样棒,如果我努力，我会像其他孩子一样棒,我像其他孩子一样棒,此处为空
CDI-25,"根据您最近两周的实际感觉,从下面三个答案中选择",没有人真正地爱我,我不能确定有人爱我,我确定有人爱我,此处为空,没有人真正地爱我,我不能确定有人爱我,我确定有人爱我,此处为空
CDI-26,"根据您最近两周的实际感觉,从下面三个答案中选择",别人要我做的事，我通常会做,别人要我做的事，我有时做,别人要我做的事，我从来不做,此处为空,别人要我做的事，我通常会做,别人要我做的事，我有时做,别人要我做的事，我从来不做,此处为空
CDI-27,"根据您最近两周的实际感觉,从下面三个答案中选择",我和别人相处很好,我有时和别人打架,我经常和别人打架,此处为空,我和别人相处很好,我有时和别人打架,我经常和别人打架,此处为空
MASC-1,最近两周内，您感到紧张或神经过敏的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到紧张或神经过敏,最近两周内，我偶尔感到紧张或神经过敏,最近两周内，我有时感到紧张或神经过敏,最近两周内，我经常感到紧张或神经过敏
MASC-2,最近两周内，您需要别人的许可的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到需要别人的许可,最近两周内，我偶尔感到需要别人的许可,最近两周内，我有时感到需要别人的许可,最近两周内，我经常感到需要别人的许可
MASC-3,最近两周内，您担心被别人笑话的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有担心别人笑话我,最近两周内，我偶尔担心别人笑话我,最近两周内，我有时担心别人笑话我,最近两周内，我经常担心别人笑话我
MASC-4,最近两周内，当父母不在身边时，您感到害怕的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，当父母不在身边时，我完全没有感到害怕,最近两周内，当父母不在身边时，我偶尔感到害怕,最近两周内，当父母不在身边时，我有时感到害怕,最近两周内，当父母不在身边时，我经常感到害怕
MASC-5,最近两周内，您对周围保持警惕的程度,完全不需要,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我对周围完全不需要保持警惕,最近两周内，我对周围偶尔保持警惕,最近两周内，我有时对周围保持警惕,最近两周内，我经常对周围保持警惕
MASC-6,最近两周内，您感到呼吸困难的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到呼吸困难,最近两周内，我偶尔感到呼吸困难,最近两周内，我有时感到呼吸困难,最近两周内，我经常感到呼吸困难
MASC-7,如果去露营，这会使您出现害怕的程度,完全不会害怕,可能有点害怕,会感到害怕,非常害怕,最近两周内，去露营的主意完全不会使我感到害怕,最近两周内，去露营的主意偶尔使我很害怕,最近两周内，去露营的主意有时使我很害怕,最近两周内，去露营的主意经常使我很害怕
MASC-8,最近两周内，您变得发抖或者心绪不宁的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有发抖或心绪不宁,最近两周内，我偶尔发抖或心绪不宁,最近两周内，我有时发抖或心绪不宁,最近两周内，我经常发抖或心绪不宁
MASC-9,最近两周内，您试图呆在爸爸或妈妈的身边程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有试图待在爸爸或妈妈的身边,最近两周内，我偶尔试图待在爸爸或妈妈的身边,最近两周内，我有时试图待在爸爸或妈妈的身边,最近两周内，我经常试图待在爸爸或妈妈的身边
MASC-10,最近两周内，您害怕别的孩子/朋友会嘲笑您的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有害怕别的孩子会嘲笑我,最近两周内，我偶尔害怕别的孩子会嘲笑我,最近两周内，我有时害怕别的孩子会嘲笑我,最近两周内，我经常害怕别的孩子会嘲笑我
MASC-11,最近两周内，您努力去服从父母和老师的程度,完全不需要,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全不需要努力去服从我的父母和老师,最近两周内，我偶尔会努力去服从我的父母和老师,最近两周内，我有时会努力去服从我的父母和老师,最近两周内，我经常会努力去服从我的父母和老师
MASC-12,最近两周内，您有眩晕或变得虚弱感觉的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有眩晕或变得虚弱的感觉,最近两周内，我偶尔有眩晕或变得虚弱的感觉,最近两周内，我有时有眩晕或变得虚弱的感觉,最近两周内，我经常有眩晕或变得虚弱的感觉
MASC-13,最近两周内，您做事前会小心慎重的程度,完全不特意需要,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，在做事前，我完全不特意小心慎重,最近两周内，在做事前，我偶尔会小心慎重,最近两周内，在做事前，我有时会小心慎重,最近两周内，在做事前，我经常会小心慎重
MASC-14,最近两周内，您上课时担心会被提问的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，上课时，我完全没有担心会被提问,最近两周内，上课时，我偶尔担心会被提问,最近两周内，上课时，我有时担心会被提问,最近两周内，上课时，我常常担心会被提问
MASC-15,最近两周内，您容易受到惊吓的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全不容易受到惊吓,最近两周内，我偶尔容易受到惊吓,最近两周内，我有时容易受到惊吓,最近两周内，我经常容易受到惊吓
MASC-16,最近两周内，您害怕别人认为自己是愚蠢的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全不害怕别人认为我是愚蠢的,最近两周内，我偶尔害怕别人认为我是愚蠢的,最近两周内，我有时害怕别人认为我是愚蠢的,最近两周内，我经常害怕别人认为我是愚蠢的
MASC-17,最近两周内，您在晚上需要亮着灯睡的情况,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，在晚上我完全不需要亮着灯睡,最近两周内，在晚上我偶尔需要亮着灯睡,最近两周内，在晚上我有时需要亮着灯睡,最近两周内，在晚上我经常需要亮着灯睡
MASC-18,最近两周内，您的胸口疼痛程度,完全没有出现,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我的胸口完全没有出现疼痛,最近两周内，我的胸口偶尔疼痛,最近两周内，我的胸口有时疼痛,最近两周内，我的胸口经常疼痛
MASC-19,最近两周内，您会避免去家人不在的地方吗,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有避免去我的家人不在的地方,最近两周内，我偶尔避免去我的家人不在的地方,最近两周内，我有时避免去我家人不在的地方,最近两周内，我经常避免去我家人不在的地方
MASC-20,最近两周内，您感到陌生、怪异或不真实的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到陌生、怪异或不真实,最近两周内，我偶尔感到陌生、怪异或不真实,最近两周内，我有时感到陌生、怪异或不真实,最近两周内，我经常感到陌生、怪异或不真实
MASC-21,最近两周内，您试图去做一些别人会喜欢的事情程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有试图去做一些别人会喜欢的事情,最近两周内，我偶尔试图去做一些别人会喜欢的事情,最近两周内，我有时试图去做一些别人会喜欢的事情,最近两周内，我经常去做一些别人会喜欢的事情
MASC-22,最近两周内，您担心别人会怎样评价您的程度,完全不担心,偶尔担心（一两次）,有时候担心（至少三四次）,经常担心,最近两周内，我完全没有担心别人会怎样想我,最近两周内，我偶尔担心别人会怎样想我,最近两周内，我有时担心别人会怎样想我,最近两周内，我经常担心别人会怎样想我
MASC-23,最近两周内，您避免看恐怖电影和电视的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有避免看恐怖的电影和电视,最近两周内，我偶尔避免看恐怖的电影和电视,最近两周内，我有时避免看恐怖的电影和电视,最近两周内，我经常避免看恐怖的电影和电视
MASC-24,最近两周内，您感觉心跳过快的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我的心跳完全没有过快,最近两周内，我的心跳偶尔过快,最近两周内，我的心跳有时过快,最近两周内，我的心跳经常过快
MASC-25,最近两周内，您希望远离使您烦心事情的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有希望远离使我烦心的事情,最近两周内，我偶尔远离使我烦心的事情,最近两周内，我有时远离使我烦心的事情,最近两周内，我经常远离使我烦心的事情
MASC-26,最近两周内，您睡觉时希望家人陪伴的程度,完全不需要,偶尔需要（一两次）,有一些时候（至少三四次）,经常需要,最近两周内，我睡觉时完全不需要家人陪伴,最近两周内，我睡觉时偶尔需要家人陪伴,最近两周内，我睡觉时有时需要家人陪伴,最近两周内，我睡觉时经常需要家人陪伴
MASC-27,最近两周内，您感到不安或紧张到快要崩溃的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到不安和紧张到快要崩溃了,最近两周内，我偶尔感到不安和紧张到快要崩溃了,最近两周内，我有时感到不安和紧张到快要崩溃了,最近两周内，我经常感到不安和紧张到快要崩溃了
MASC-28,最近两周内，您尽力去把每件事做到完美的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有特意去把每件事做得完美,最近两周内，我偶尔会尽力去把每件事做得完美,最近两周内，我有时会尽力去把每件事做得完美,最近两周内，我经常尽力去把每件事做得完美
MASC-29,最近两周内，您担心做愚蠢或尴尬事情的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全不担心做愚蠢或尴尬的事情,最近两周内，我偶尔担心担心做愚蠢或尴尬的事情,最近两周内，我有时担心做愚蠢或尴尬的事情,最近两周内，我经常担心做愚蠢或尴尬的事情
MASC-30,最近两周内，您害怕乘坐公共汽车或轿车的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有害怕乘坐公共汽车或轿车,最近两周内，我偶尔害怕乘坐公共汽车或轿车,最近两周内，我有时害怕乘坐公共汽车或轿车,最近两周内，我经常害怕乘坐公共汽车或轿车
MASC-31,最近两周内，您感到自己的胃有毛病的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到我的胃有毛病,最近两周内，我偶尔感到我的胃有毛病,最近两周内，我有时感到我的胃有毛病,最近两周内，我经常感到我的胃有毛病
MASC-32,如果您变得心烦或害怕，您会立刻让别人知道吗？,完全不会,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，如果我变得心烦或害怕，我完全不会立刻让别人知道,最近两周内，如果我变得心烦或害怕，我偶尔会立刻让别人知道,最近两周内，如果我变得心烦或害怕，我有时会立刻让别人知道,最近两周内，如果我变得心烦或害怕，我经常会立刻让别人知道
MASC-33,如果您必须在公众面前发言，您会变得紧张的程度,完全不会紧张,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，如果我必须在公众面前发言，我完全不会变得紧张,最近两周内，如果我必须在公众面前发言，我偶尔会变得紧张,最近两周内，如果我必须在公众面前发言，我有时会变得紧张,最近两周内，如果我必须在公众面前发言，我经常会变得紧张
MASC-34,坏天气、黑暗、高处、动物、或者小虫子会使您害怕的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，坏天气、黑暗、高处、动物、或者小虫子完全不会使我害怕,最近两周内，坏天气、黑暗、高处、动物、或者小虫子偶尔会使我害怕,最近两周内，坏天气、黑暗、高处、动物、或者小虫子有时会使我害怕,最近两周内，坏天气、黑暗、高处、动物、或者小虫子经常会使我害怕
MASC-35,最近两周内，您的手发抖的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我的手完全没有发抖,最近两周内，我的手偶尔发抖,最近两周内，我的手有时发抖,最近两周内，我的手经常发抖
MASC-36,最近两周内，您做事情前，需要进行检查以确定该事情是安全的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有进行检查以确定事情是安全的,最近两周内，我偶尔进行检查以确定事情是安全的,最近两周内，我有时进行检查以确定事情是安全的,最近两周内，我经常进行检查以确定事情是安全的
MASC-37,邀请别的孩子/朋友和您一起玩耍，您感觉到困难的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，邀请别的孩子和我一起玩耍，对我来说完全不是件难的事情,最近两周内，邀请别的孩子和我一起玩耍，对我来说偶尔是件难的事情,最近两周内，邀请别的孩子和我一起玩耍，对我来说有时是件难的事情,最近两周内，邀请别的孩子和我一起玩耍，对我来说经常是件难的事情
MASC-38,最近两周内，您感到手出汗或发冷的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到我的手出汗或发冷,最近两周内，我偶尔感到我的手出汗或发冷,最近两周内，我有时感到我的手出汗或发冷,最近两周内，我经常感到我的手出汗或发冷
MASC-39,最近两周内，您感到害羞的程度,完全没有,偶尔出现（一两次）,有一些时候（至少三四次）,经常出现,最近两周内，我完全没有感到害羞,最近两周内，我偶尔感到害羞,最近两周内，我有时感到害羞,最近两周内，我经常感到害羞
Random-1,您现在是哪一层次学生,小学生,初中生,高中或中专生,大学生,我现在是小学生,我现在是初中生,我现在是高中生/中专生,我现在是大学生
Random-2,您来自哪个国家,美国,中国,俄罗斯,比利时,我来自美国,我来自中国,我来自俄罗斯,我来自比利时
Random-3,您最喜欢哪个季节,春天,夏天,秋天,冬天,我喜欢春天,我喜欢夏天,我喜欢秋天,我喜欢冬天
Random-4,这些运动里面，您最喜欢哪个,跑步,篮球,足球,游泳,我喜欢跑步,我喜欢篮球项目,我喜欢足球运动,我喜欢游泳项目
Random-5,您是否不想得到好的成绩？,是,否,此处为空,此处为空,我不想得到好的成绩,我想得到好的成绩,此处为空,此处为空
Random-6,您以前是否说过谎话？,是,否,此处为空,此处为空,我以前说过谎话,我以前没有说过谎话,此处为空,此处为空
Random-7,您是否一次也没有和朋友/同学失约过？,是,否,此处为空,此处为空,我一次也没有和朋友/同学失约过,我曾经和朋友/同学失约过,此处为空,此处为空
Random-8,您是否能保密别人不让你说的事？,是,否,此处为空,此处为空,我不会说出别人不让我说的事,我会说出别人不让我说的事,此处为空,此处为空
Random-9,您是否总是很有礼貌？,是,否,此处为空,此处为空,我总是很有礼貌,我不是总很有礼貌,此处为空,此处为空
Random-10,老师或父母说的话，您是否都照办？,是,否,此处为空,此处为空,老师或父母说的话，我都会照办,老师或父母说的话，我并不是都会照办,此处为空,此处为空
Random-11,您是否发过怒？,是,否,此处为空,此处为空,我发过怒,我没有发过怒,此处为空,此处为空
Random-12,您不喜欢的课，老师提前下课，您是否会感到特别高兴？,是,否,此处为空,此处为空,我不喜欢的课，老师提前下课，我会感到特别高兴,我不喜欢的课，老师提前下课，我不会感到特别高兴,此处为空,此处为空
Random-13,您是否无论对谁都很热情？,是,否,此处为空,此处为空,我无论对谁都很亲热,我不是对谁都很亲热的,此处为空,此处为空
Random-14,对不认识的人，您是否会都喜欢？,是,否,此处为空,此处为空,对不认识的人，我会都很喜欢,对不认识的人，我并不会都很喜欢,此处为空,此处为空
